gene	number
PPP2R1B	1
PRDM1	1
PRKAR1A	1
PTK2	1
PTPN11	1
PTPRD	1
QKI	1
RAD51B	1
RAD51C	1
RAD52	1
RAD54L	1
RALB	1
RAMP3	1
RARB	1
RASAL1	1
RASGRF1	1
RB1	1
RECQL4	1
RHBDF2	1
RRAS2	1
RUNX1	1
RUNX1T1	1
RUNX3	1
RXRA	1
RYR2	1
SAMD9L	1
SCN10A	1
SDC4	1
SETBP1	1
SFRP1	1
SH2B3	1
SLC16A3	1
SLC22A16	1
SLC45A3	1
SLC5A8	1
SLX4	1
SMAD2	1
SMAD7	1
SMARCB1	1
SOCS1	1
SPOP	1
STAT5A	1
SULT1C4	1
SYNE1	1
SYNPO2	1
TAB1	1
TEK	1
TEX14	1
TM6SF1	1
TMEM127	1
TNFAIP3	1
TOP1	1
TOP2A	1
TRIM24	1
UBE2D1	1
UMPS	1
USP9X	1
VHL	1
WHSC1	1
WNT1	1
XPO1	1
ZBTB2	1
ZFHX4	1
ZIC3	1
ZNF521	1
ZNRF3	1

