gene	number
ATAD5	2
AURKA	2
BRINP1	2
BTG1	2
CCND1	2
CCND2	2
CDK12	2
CDK8	2
CDKN1B	2
CHEK2	2
CSF3R	2
CTSA	2
CTSD	2
CYP2C9	2
CYP3A4	2
DROSHA	2
EPHA2	2
ERG	2
EXT2	2
FAM135B	2
FAT2	2
FAT3	2
FGF10	2
FGF14	2
FGF19	2
FGF23	2
FGF3	2
FUBP1	2
GATA1	2
GRM8	2
GSK3B	2
HDAC2	2
HIST1H3H	2
HNRNPA2B1	2
IDH1	2
IDH2	2
KCNB2	2
KDM4D	2
KDM5A	2
LHCGR	2
MDM2	2
MEN1	2
MGAM	2
MLH1	2
MLLT1	2
MRE11A	2
MSH3	2
MTHFR	2
NLGN4X	2
NUP93	2
PCK1	2
PIK3R1	2
PKHD1	2
PLK1	2
POLD1	2
RAD50	2
RAD51B	2
RARA	2
SDHA	2
SMARCA1	2
SMARCB1	2
SOX1	2
SYNE1	2
TGFBR1	2
TLR4	2
TNFRSF19	2
TRIM33	2
TTLL2	2
WT1	2
XPO1	2
ABCC2	1
ABCC6	1
ABL2	1
ACADL	1
ACTR8	1
AFF1	1
AKAP9	1
ALDH2	1
APOB	1
AQP9	1
ARHGAP19	1
ARHGAP6	1
ARHGEF7	1
ARRDC3	1
ASPM	1
AURKB	1
B2M	1
BCL2	1
BCL2L2	1
BCL6	1
BIRC3	1
BIRC5	1
BLM	1
BRD9	1
BTN3A1	1
BUB1B	1
CA9	1
CADM1	1
CALR	1
CARS	1
CASP2	1
CASP9	1
CCNA2	1
CCNB3	1
CCND3	1
CCNE2	1
CD274	1
CD79A	1
CDC73	1
CDH8	1
CDK4	1
CDKN1A	1
CDKN2C	1
CHEK1	1
CLEC1B	1
CLTC	1
COL11A1	1
COL1A1	1
COL1A2	1
CPA1	1
CRKL	1
CRTC1	1
CSF2RB	1
CTSE	1
CYP2B6	1
CYP2C8	1
CYP2D6	1
DAB2IP	1
DAZL	1
DDIT3	1
DPEP1	1
DST	1
E2F1	1
EIF4EBP1	1
ELMO1	1
EML4	1
ERC1	1
ERCC1	1
ERRFI1	1
ESRP1	1
EZR	1
FAM46C	1
FANCA	1
FANCC	1
FANCG	1
FCN1	1
FCRL1	1
FGF4	1
FGFR1	1
FH	1
FLI1	1
FUS	1
GARS	1
GNAQ	1
GPI	1
GRM3	1
GUSB	1
HAL	1
HIST1H3I	1
HNF1A	1
HNF1B	1
HOXC4	1
HRAS	1
IDH3B	1
IL1RL1	1
IL6ST	1
ING1	1
INHBA	1
IRS1	1
ITGA2B	1
KLC1	1
KLF6	1
KLHL6	1
KMO	1
LAMP3	1
LIFR	1
LRIG3	1
LRRC34	1
LRRC4C	1
LTA4H	1
LY96	1
LYN	1
MAGI3	1
MAP2K1	1
MAP2K3	1
MAP2K4	1
MAP3K5	1
MAP3K7	1
MCL1	1
MEP1B	1
MGMT	1
MKI67	1
MLLT4	1
MTRR	1
MUTYH	1
MYCL	1
MYCN	1
NCAM2	1
NEDD4L	1
NNT	1
NPC1	1
NR3C1	1
NRG1	1
NUTM1	1
OBSCN	1
PAK3	1
PARK2	1
PCM1	1
PDCD1	1
PDCD1LG2	1
PDE4B	1
PEG3	1
PFKFB3	1
PGK2	1
PGR	1
PHKG2	1
PIK3C3	1
PLA2G7	1
PLAG1	1
PLCB3	1
PMEL	1
PML	1
PMS1	1
PMS2	1
PPP2CB	1
PRDM1	1
PRKAR1A	1
PRSS1	1
PTPN1	1
PTPRD	1
PTPRG	1
QKI	1
RAC1	1
RAD51	1
RAD51D	1
RAD52	1
RASAL1	1
RASGRF1	1
RHBDF2	1
RHOA	1
RRM1	1
RSPO1	1
RUNX3	1
RUSC1	1
SAMD9L	1
SCN10A	1
SCUBE2	1
SDHAF2	1
SDHB	1
SERPINA7	1
SETBP1	1
SFRP2	1
SHISA5	1
SLC10A1	1
SLC22A1	1
SLC22A2	1
SLC5A8	1
SLCO1B3	1
SLIT1	1
SOS2	1
SOX9	1
SPAG17	1
SPTA1	1
SRC	1
SRCAP	1
SRSF2	1
STAT5A	1
STAT6	1
STS	1
SUCLG1	1
SUCLG2	1
SUZ12	1
SYNE2	1
SYNPO2	1
TBC1D8B	1
TBX5	1
TCF4	1
TEP1	1
TES	1
TEX14	1
TFG	1
THRB	1
TIMP3	1
TKT	1
TLR2	1
TM6SF1	1
TMEM170A	1
TNFRSF14	1
TNRC6B	1
TOP1	1
TOP2A	1
TRPV4	1
TTC36	1
TUBB3	1
UBA1	1
USP9X	1
VEGFA	1
VHL	1
VWF	1
XPC	1
ZBTB17	1
ZIC3	1
ZNF217	1
ZNF331	1
ZNRF3	1

